run,type,module,name,attrname,attrvalue,value
General-19-20230607-00:06:43-27900,runattr,,,configname,General,
General-19-20230607-00:06:43-27900,runattr,,,datetime,20230607-00:06:43,
General-19-20230607-00:06:43-27900,runattr,,,datetimef,20230607-000643,
General-19-20230607-00:06:43-27900,runattr,,,experiment,General,
General-19-20230607-00:06:43-27900,runattr,,,inifile,"HeavyTrafficLimits_lambda_2.0-switchProb_0.8-serviceTime_uniform(2s,4s).ini",
General-19-20230607-00:06:43-27900,runattr,,,iterationvars,,
General-19-20230607-00:06:43-27900,runattr,,,iterationvarsd,,
General-19-20230607-00:06:43-27900,runattr,,,iterationvarsf,,
General-19-20230607-00:06:43-27900,runattr,,,measurement,,
General-19-20230607-00:06:43-27900,runattr,,,network,HeavyTrafficLimits,
General-19-20230607-00:06:43-27900,runattr,,,processid,27900,
General-19-20230607-00:06:43-27900,runattr,,,repetition,19,
General-19-20230607-00:06:43-27900,runattr,,,replication,rep19,
General-19-20230607-00:06:43-27900,runattr,,,resultdir,"results/lambda_2.0-switchProb_0.8-serviceTime_uniform(2s,4s)",
General-19-20230607-00:06:43-27900,runattr,,,runnumber,19,
General-19-20230607-00:06:43-27900,runattr,,,seedset,19,
General-19-20230607-00:06:43-27900,config,,,network,HeavyTrafficLimits,
General-19-20230607-00:06:43-27900,config,,,sim-time-limit,100000s,
General-19-20230607-00:06:43-27900,config,,,repeat,20,
General-19-20230607-00:06:43-27900,config,,,replication-label,rep19,
General-19-20230607-00:06:43-27900,config,,,result-dir,"results/lambda_2.0-switchProb_0.8-serviceTime_uniform(2s,4s)",
General-19-20230607-00:06:43-27900,config,,,warmup-period,30000s,
General-19-20230607-00:06:43-27900,config,,,**.source.lambda,2.0,
General-19-20230607-00:06:43-27900,config,,,**.router.switchProbability,0.8,
General-19-20230607-00:06:43-27900,config,,,**.server1.serviceTime,"uniform(2s,4s)",
General-19-20230607-00:06:43-27900,config,,,**.server2.serviceTime,"uniform(2s,4s)",
General-19-20230607-00:06:43-27900,config,,,**.server3.serviceTime,"uniform(2s,4s)",
General-19-20230607-00:06:43-27900,config,,,**.server1.crashTime,500,
General-19-20230607-00:06:43-27900,config,,,**.server2.crashTime,750,
General-19-20230607-00:06:43-27900,config,,,**.server3.crashTime,1000,
General-19-20230607-00:06:43-27900,config,,,**.server1.queueLength.record,true,
General-19-20230607-00:06:43-27900,config,,,**.server1.serviceTime.record,true,
General-19-20230607-00:06:43-27900,config,,,**.server2.serviceTime.record,true,
General-19-20230607-00:06:43-27900,config,,,**.server3.serviceTime.record,true,
General-19-20230607-00:06:43-27900,scalar,HeavyTrafficLimits.server1,responseTime:max,,,2.195067210589
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.server1,responseTime:max,,,
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.server1,responseTime:max,interpolationmode,none,
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.server1,responseTime:max,recordingmode,max,
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.server1,responseTime:max,title,"Response time, max",
General-19-20230607-00:06:43-27900,scalar,HeavyTrafficLimits.server2,responseTime:max,,,2.860936454497
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.server2,responseTime:max,,,
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.server2,responseTime:max,interpolationmode,none,
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.server2,responseTime:max,recordingmode,max,
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.server2,responseTime:max,title,"Response time, max",
General-19-20230607-00:06:43-27900,scalar,HeavyTrafficLimits.server3,responseTime:max,,,3.522499436978
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.server3,responseTime:max,,,
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.server3,responseTime:max,interpolationmode,none,
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.server3,responseTime:max,recordingmode,max,
General-19-20230607-00:06:43-27900,attr,HeavyTrafficLimits.server3,responseTime:max,title,"Response time, max",
